old_name,new_name
"Newspaper-Newsletter--Streamline-Atlas.svg","newspaper-newsletter-streamline-atlas.svg"
"Loading-Circle--Streamline-Ultimate.svg","loading-circle-streamline-ultimate.svg"
"Padlock-Square-1--Streamline-Core-Remix.svg","padlock-square-1-streamline-core-remix.svg"
"calendar-heat-map.svg","calendar-heat-map.svg"
"diagram.svg","diagram.svg"
"align-vertical-top.svg","align-vertical-top.svg"
"xls.svg","xls.svg"
"save.svg","save.svg"
"checkmark-filled.svg","checkmark-filled.svg"
"document-attachment.svg","document-attachment.svg"
"information-filled.svg","information-filled.svg"
"arrows-horizontal.svg","arrows-horizontal.svg"
"hearing.svg","hearing.svg"
"Cashing-Check--Streamline-Flex.svg","cashing-check-streamline-flex.svg"
"mobile.svg","mobile.svg"
"text-strikethrough.svg","text-strikethrough.svg"
"checkbox-checked.svg","checkbox-checked.svg"
"heat-map-03.svg","heat-map-03.svg"
"link.svg","link.svg"
"reminder.svg","reminder.svg"
"document-pdf.svg","document-pdf.svg"
"Business-Handshake--Streamline-Core.svg","business-handshake-streamline-core.svg"
"list.svg","list.svg"
"checkmark-outline.svg","checkmark-outline.svg"
"text-scale.svg","text-scale.svg"
"user-settings.svg","user-settings.svg"
"Print--Streamline-Sharp-Material-Symbols.svg","print-streamline-sharp-material-symbols.svg"
"distribute-horizontal-left.svg","distribute-horizontal-left.svg"
"Tabs--Streamline-Rounded-Material-Symbols.svg","tabs-streamline-rounded-material-symbols.svg"
"align-vertical-center.svg","align-vertical-center.svg"
"service-desk-2.svg","service-desk-2.svg"
"workspace.svg","workspace.svg"
"group-presentation.svg","group-presentation.svg"
"text-color.svg","text-color.svg"
"raw.svg","raw.svg"
"template.svg","template.svg"
"radio-button.svg","radio-button.svg"
"purchase.svg","purchase.svg"
"align-horizontal-left.svg","align-horizontal-left.svg"
