old_name,new_name
"Service-Desk.svg","service-desk.svg"
"Wikis.svg","wikis.svg"
"Repeat.svg","repeat.svg"
"Mp3.svg","mp3.svg"
"User-Avatar-Filled-Alt.svg","user-avatar-filled-alt.svg"
"Wallet.svg","wallet.svg"
"Progress-Bar.svg","progress-bar.svg"
"Group-Security.svg","group-security.svg"
"Edit.svg","edit.svg"
"Heat-Map-03.svg","heat-map-03.svg"
"Distribute-Vertical-Center.svg","distribute-vertical-center.svg"
"Pdf.svg","pdf.svg"
"Distribute-Vertical-Top.svg","distribute-vertical-top.svg"
"Document.svg","document.svg"
"Close-Filled.svg","close-filled.svg"
"Raw.svg","raw.svg"
"Document-Blank.svg","document-blank.svg"
"Group-Account.svg","group-account.svg"
"Logo-Youtube.svg","logo-youtube.svg"
